Vendor,Reachable,Has ONPI,HTTPS ORG URL,Findable Metadata,Findable SMART,Findable OpenAPI Docs,Findable OpenAPI JSON,Findable Swagger,Findable Swagger JSON
cyfluent,True,True,https://www.cyfluentphr.com/fhirapi/RClayton/r4/,https://www.cyfluentphr.com/fhirapi/RClayton/r4/metadata,https://www.cyfluentphr.com/fhirapi/RClayton/r4/.well-known/smart-configuration,False,False,False,False
doc_tor_com,True,False,https://pic-fhir.harrisambulatory.com/BERNSTEIN-1828/fhir/r4,https://pic-fhir.harrisambulatory.com/BERNSTEIN-1828/fhir/r4/metadata,https://pic-fhir.harrisambulatory.com/BERNSTEIN-1828/fhir/r4/.well-known/smart-configuration,False,False,https://pic-fhir.harrisambulatory.com/swagger,False
eclinicalworks_llc,True,False,https://fhir4.eclinicalworks.com/fhir/r4/HBJEAA,https://fhir4.eclinicalworks.com/fhir/r4/metadata,https://fhir4.eclinicalworks.com/fhir/r4/HBJEAA/.well-known/smart-configuration,https://fhir4.eclinicalworks.com/fhir/r4/api-docs,False,False,False
eclinicalworks_llc_2,True,False,https://fhir4.eclinicalworks.com/fhir/r4/HBJEAA,https://fhir4.eclinicalworks.com/fhir/r4/metadata,https://fhir4.eclinicalworks.com/fhir/r4/HBJEAA/.well-known/smart-configuration,https://fhir4.eclinicalworks.com/fhir/r4/api-docs,False,False,False
edvak_technologies_inc,True,False,https://fhir-dev.edvak.com/fhir,https://fhir-dev.edvak.com/fhir/metadata,https://fhir-dev.edvak.com/fhir/.well-known/smart-configuration,https://fhir-dev.edvak.com/fhir/api-docs,False,False,False
ehana,True,True,https://fhir.ehana.com:9443/fhirserver/fhir/,https://fhir.ehana.com:9443/fhirserver/fhir/metadata,https://fhir.ehana.com:9443/fhirserver/.well-known/smart-configuration,False,False,False,False
ehnote_inc,True,False,https://interop.ehnote.com/fhir/,https://interop.ehnote.com/fhir/metadata,https://interop.ehnote.com/fhir/.well-known/smart-configuration,False,False,https://interop.ehnote.com/fhir/swagger,False
emedpractice_llc,True,False,https://fhirbackup.emedpractice.com:8443/CapabilityStatement,https://fhirbackup.emedpractice.com:8443/metadata,https://fhirbackup.emedpractice.com:8443/.well-known/smart-configuration,False,False,https://fhirbackup.emedpractice.com:8443/swagger,False
ensoftek_inc,True,False,https://drc-india.drcloudemr.com/drcloud/apis/default/fhir,https://drc-india.drcloudemr.com/drcloud/apis/default/fhir/metadata,https://drc-india.drcloudemr.com/drcloud/apis/default/fhir/.well-known/smart-configuration,False,False,https://drc-india.drcloudemr.com/drcloud/swagger,False
ensoftek_inc_2,True,False,https://drc-india.drcloudemr.com/drcloud/apis/default/fhir,https://drc-india.drcloudemr.com/drcloud/apis/default/fhir/metadata,https://drc-india.drcloudemr.com/drcloud/apis/default/fhir/.well-known/smart-configuration,False,False,https://drc-india.drcloudemr.com/drcloud/swagger,False
eyefinity_inc,True,True,https://7eeye.ef.prod.fhir.ema-api.com/fhir/r4/,https://7eeye.ef.prod.fhir.ema-api.com/fhir/r4/metadata,https://7eeye.ef.prod.fhir.ema-api.com/fhir/r4/.well-known/smart-configuration,False,False,False,False
eyefinity_inc_2,True,True,https://7eeye.ef.prod.fhir.ema-api.com/fhir/r4/,https://7eeye.ef.prod.fhir.ema-api.com/fhir/r4/metadata,https://7eeye.ef.prod.fhir.ema-api.com/fhir/r4/.well-known/smart-configuration,False,False,False,False
eyemd_emr_healthcare_systems_inc,True,True,https://smartonfhir.myeyecarerecords.com/fhir/EYE227530,https://smartonfhir.myeyecarerecords.com/fhir/EYE227530/metadata,https://smartonfhir.myeyecarerecords.com/.well-known/smart-configuration,False,False,False,False
